Warehouse,WeekEnding,DemandFulfillment,AFIFinanceDivision,FOBDemandFullfilment
17 ,2026-05-23,3695,Imported Upholstery,2231310
17 ,2026-05-23,9203,Domestic Bedding,3319183
17 ,2026-05-23,5477,Import Bedding,1165582
17 ,2026-05-23,32785,Import Casegoods,5508701
17 ,2026-05-23,16823,Upholstery,4947036
17 ,2026-05-23,8285,Domestic Casegoods,846064
28 ,2026-05-23,6736,Domestic Bedding,2420566
28 ,2026-05-23,19172,Import Casegoods,3114224
28 ,2026-05-23,4108,Import Bedding,697724
28 ,2026-05-23,13610,Upholstery,4042962
28 ,2026-05-23,4709,Domestic Casegoods,489706
28 ,2026-05-23,1892,Imported Upholstery,1133979
335,2026-05-23,27238,Import Casegoods,4798888
